Date,Portfolio A,Portfolio B
2015/6/10,1.282485079,1.232486391
2015/6/11,1.252335103,1.214205661
2015/6/12,1.247546992,1.222644331
2015/6/15,1.269102013,1.236805271
2015/6/16,1.256052706,1.220293085
2015/6/17,1.257403983,1.208170311
2015/6/18,1.279412903,1.209598732
2015/6/19,1.274428108,1.204729754
2015/6/22,1.253297209,1.185992677
2015/6/23,1.258309317,1.192618019
2015/6/24,1.288279988,1.204339501
2015/6/25,1.292183131,1.208282229
2015/6/26,1.282226226,1.200642382
2015/6/29,1.292939134,1.197131821
2015/6/30,1.316145756,1.211711642
2015/7/1,1.323516268,1.20517687
2015/7/2,1.332162788,1.209744613
2015/7/3,1.329865851,1.210192801
2015/7/6,1.282931844,1.167927472
2015/7/7,1.276176262,1.161605555
2015/7/8,1.289686706,1.176625013
2015/7/9,1.291473273,1.172704593
2015/7/10,1.273776135,1.156105553
2015/7/13,1.252375163,1.14929475
2015/7/14,1.270566907,1.167361625
2015/7/15,1.247399818,1.160748553
2015/7/16,1.242232005,1.175531351
2015/7/17,1.215548315,1.161432299
2015/7/20,1.206511131,1.153905309
2015/7/21,1.215249088,1.172900828
2015/7/22,1.244681037,1.209118308
2015/7/23,1.277827039,1.235759548
2015/7/24,1.282629364,1.238477814
2015/7/27,1.283201497,1.226953973
2015/7/28,1.262248507,1.200208974
2015/7/29,1.252066634,1.201538976
2015/7/30,1.26963451,1.224500962
2015/7/31,1.282201858,1.226004513
2015/8/3,1.304502457,1.229516431
2015/8/4,1.268306288,1.192195698
2015/8/5,1.236882147,1.179988264
2015/8/6,1.21938097,1.180616143
2015/8/7,1.232386974,1.189364417
2015/8/10,1.218352176,1.169958255
2015/8/11,1.231179783,1.189824135
2015/8/12,1.243506639,1.200799392
2015/8/13,1.249873448,1.206134352
2015/8/14,1.234189979,1.205444059
2015/8/17,1.197923765,1.181619378
2015/8/18,1.226110058,1.197679673
2015/8/19,1.218795808,1.196973231
2015/8/20,1.196871157,1.179059429
2015/8/21,1.232697073,1.192869098
2015/8/24,1.21835205,1.191713636
2015/8/25,1.185244247,1.170026951
2015/8/26,1.194476325,1.178011387
2015/8/27,1.20618268,1.187142354
2015/8/28,1.212614452,1.201618269
2015/8/31,1.219501239,1.221004886
2015/9/1,1.239344855,1.22523197
2015/9/2,1.248563555,1.230642997
2015/9/3,1.248185239,1.228085674
2015/9/4,1.280468925,1.263301577
2015/9/7,1.282258964,1.267444786
2015/9/8,1.315025358,1.285108347
2015/9/9,1.30294613,1.288582615
2015/9/10,1.326336566,1.303189035
2015/9/11,1.344378822,1.313773132
2015/9/14,1.362955038,1.331110761
2015/9/15,1.364601694,1.336995096
