,Black_schole(call),Tree_Euro(call),R_results(call),Black_schole(put),Tree_Euro(put),R_results(put),Euro_call_rel_error(%),Euro_put_rel_error(%)
price,5.097547717726165,5.098369277273162,5.098,4.361258649128036,4.362080208674813,4.361,0,0
delta,0.5505079008346854,0.5563031937374951,0.551,-0.3912566327495633,-0.38546133984653785,-0.391,1,-1
gamma,0.028847096893412222,0.029902330735117836,0.029,0.028847096893412222,0.029902330735128293,0.029,3,3
theta,-1.9880294017374047,-1.980646621246951,-1.988,-3.599645380902868,-3.592262896534937,-3.6,0,0
rho,13.517838087997967,13.517963878650763,13.518,-15.595527918457277,-15.595675066443393,-15.596,0,0
vega,13.357648216494526,13.326192593423203,13.358,13.357648216494526,13.326192593498742,13.358,0,0
