true_sigma,bs_newton_0,bs_bisec_0,tree_bisec_0,bs_newton_1,bs_bisec_1,tree_bisec_1,bs_newton_2,bs_bisec_2,tree_bisec_2,bs_newton_3,bs_bisec_3,tree_bisec_3,bs_newton_4,bs_bisec_4,tree_bisec_4,bs_newton_5,bs_bisec_5,tree_bisec_5
0.06,0.06000000000000045,0.060022949218749996,0.060022949218749996,0.059999999999998985,0.060022949218749996,0.060022949218749996,0.059999999999999026,0.060022949218749996,0.060022949218749996,0.06000000000000058,0.060022949218749996,0.060022949218749996,0.06000000000000025,0.060022949218749996,0.060510742187499994,0.06000000000000102,0.060022949218749996,0.060510742187499994
0.1,0.09999999999999987,0.10002197265625,0.10002197265625,0.09999999999999985,0.10002197265625,0.10002197265625,0.10000000000000017,0.10002197265625,0.10002197265625,0.1,0.10002197265625,0.10002197265625,0.09999999999999985,0.10002197265625,0.10026586914062499,0.1000000000000002,0.10002197265625,0.10026586914062499
0.2,0.20000000000000012,0.20001953125,0.200263427734375,0.19999999999999996,0.20001953125,0.200263427734375,0.2000000000000006,0.20001953125,0.200263427734375,0.1999999999999999,0.20001953125,0.200263427734375,0.1999999999999997,0.20001953125,0.1998975830078125,0.20000000000000062,0.20001953125,0.1998975830078125
0.3,0.30000000000000016,0.30001708984375,0.29977319335937497,0.3000000000000001,0.30001708984375,0.29977319335937497,0.29999999999999993,0.30001708984375,0.29977319335937497,0.29999999999999993,0.30001708984375,0.29977319335937497,0.29999999999999993,0.30001708984375,0.29983416748046876,0.2999999999999996,0.30001708984375,0.29983416748046876
0.4,0.3999999999999999,0.4000146484375,0.40050244140625,0.3999999999999999,0.4000146484375,0.40050244140625,0.4000000000000004,0.4000146484375,0.40050244140625,0.4000000000000002,0.4000146484375,0.40050244140625,0.39999999999999997,0.4000146484375,0.39989270019531253,0.4,0.4000146484375,0.39989270019531253
