,Tree_American(call),Tree_American(put),R_results(call)
price,6.620630775605394,3.523803137253215,6.623595
delta,0.6476607162476444,-0.3622315775341889,0.6596053
gamma,0.030587049909635417,0.032467389242960124,0.02881365
theta,-3.970534166921036,-2.5679756068342163,3528.627
rho,15.81236880347534,-10.778560243963664,15.97369
vega,13.401569342337805,13.467153823048749,13.36975
